                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.71738,                 2.6461,                 1.1833,                0.00333,                      1,                0.47264,                0.39942,                0.36696,                 3.0938,                0.92145,                      0,                      0,                      0
                      1,                0.72087,                 2.5863,                 1.2294,                0.00333,                      1,                0.55547,                0.46588,                0.34997,                  3.086,                0.91442,             1.9208e-05,             1.9208e-05,             1.9208e-05
                      2,                0.63861,                 2.4883,                 1.1486,                0.00333,                      1,                 0.7028,                0.61881,                0.32647,                 3.0773,                0.89454,             3.6832e-05,             3.6832e-05,             3.6832e-05
                      3,                0.74392,                 2.4356,                 1.2202,                0.00333,                      1,                0.81925,                0.74102,                0.30745,                 3.0659,                0.88523,             5.2872e-05,             5.2872e-05,             5.2872e-05
                      4,                0.52854,                 2.4186,                 1.0543,                0.00333,                      1,                0.94105,                0.85812,                  0.306,                  3.046,                0.87985,             6.7328e-05,             6.7328e-05,             6.7328e-05
                      5,                0.55025,                 2.3251,                 1.1344,                0.00333,                      1,                0.96739,                0.87578,                0.31381,                 3.0267,                 0.8901,               8.02e-05,               8.02e-05,               8.02e-05
                      6,                0.53504,                 2.1034,                 1.0217,                0.00333,                      1,                0.98794,                0.90617,                0.31098,                 3.0013,                0.88712,             9.1488e-05,             9.1488e-05,             9.1488e-05
                      7,                0.42309,                 1.8115,                0.99033,                0.00333,                      1,                  0.995,                0.91079,                0.32494,                 2.9335,                0.89491,             0.00010119,             0.00010119,             0.00010119
                      8,                0.56913,                  1.804,                 1.1053,                0.00333,                      1,                  0.995,                0.89935,                0.33891,                 2.8542,                0.90459,             0.00010931,             0.00010931,             0.00010931
                      9,                0.49685,                 1.4992,                 1.0052,                0.00797,                      1,                  0.995,                0.89212,                0.34438,                 2.7395,                0.92068,             0.00011585,             0.00011585,             0.00011585
                     10,                0.45914,                 1.3794,                 1.0232,                      1,                0.63601,                  0.995,                0.91952,                0.34382,                 2.6136,                0.92968,              0.0001208,              0.0001208,              0.0001208
                     11,                0.45802,                  1.376,                 1.0098,                      1,                0.73638,                  0.995,                0.92252,                0.34322,                 2.5189,                0.92994,             0.00012417,             0.00012417,             0.00012417
                     12,                0.38996,                 1.2164,                 1.0084,                      1,                0.80441,                  0.995,                0.92232,                0.33485,                 2.4451,                0.92703,             0.00012595,             0.00012595,             0.00012595
                     13,                0.49512,                 1.2185,                 1.0284,                      1,                0.94271,                  0.995,                0.93181,                  0.327,                 2.4233,                0.91967,             0.00012615,             0.00012615,             0.00012615
                     14,                0.44238,                 1.1916,                0.99513,                      1,                0.80904,                0.99147,                0.94538,                0.32288,                 2.4582,                0.90428,             0.00012477,             0.00012477,             0.00012477
                     15,                0.32801,                 1.5318,                0.88538,                      1,                0.68303,                0.98029,                0.92251,                0.32256,                 2.5302,                0.90652,              0.0001218,              0.0001218,              0.0001218
                     16,                0.31712,                 1.5833,                 0.8719,                      1,                0.51221,                0.97676,                0.90709,                 0.3291,                 2.5996,                0.90817,             0.00011725,             0.00011725,             0.00011725
                     17,                0.30356,                  1.522,                0.89976,                      1,                0.51221,                0.97676,                0.90709,                 0.3291,                 2.5996,                0.90817,             0.00011111,             0.00011111,             0.00011111
                     18,                 0.2948,                 1.4759,                0.89648,                      1,                0.47012,                0.97676,                 0.9136,                0.32489,                 2.6553,                0.90832,             0.00010339,             0.00010339,             0.00010339
                     19,                0.33654,                 1.6401,                0.98474,                      1,                0.47012,                0.97676,                 0.9136,                0.32489,                 2.6553,                0.90832,             9.4088e-05,             9.4088e-05,             9.4088e-05
                     20,                0.30882,                 1.4943,                0.90908,                      1,                0.44743,                0.98794,                0.92615,                 0.3107,                 2.6841,                0.90078,               8.32e-05,               8.32e-05,               8.32e-05
                     21,                0.39378,                 1.4332,                0.97453,                      1,                0.44743,                0.98794,                0.92615,                 0.3107,                 2.6841,                0.90078,             7.0728e-05,             7.0728e-05,             7.0728e-05
                     22,                0.32413,                  1.398,                0.88949,                      1,                0.44641,                0.99147,                0.92174,                0.31188,                 2.6889,                0.90328,             5.6672e-05,             5.6672e-05,             5.6672e-05
                     23,                0.40254,                  1.456,                0.95036,                      1,                0.44641,                0.99147,                0.92174,                0.31188,                 2.6889,                0.90328,             4.1032e-05,             4.1032e-05,             4.1032e-05
                     24,                0.31333,                 1.4712,                0.88717,                      1,                0.47483,                0.99147,                0.92174,                0.31438,                 2.6679,                0.90734,             2.3808e-05,             2.3808e-05,             2.3808e-05
